month_key,rows,rank_coverage,panel_coverage,avg_viewers_mean,hours_watched_mean
2022april,2429,0.7035817208727871,0.7035817208727871,4659.606202457578,542618.3771211235
2022august,2429,0.7282832441333882,0.7282832441333882,4588.142453363482,541783.729366874
2022december,2429,0.724578015644298,0.724578015644298,4147.672727272728,443651.6974431818
2022february,2429,0.6829971181556196,0.6829971181556196,5016.83484026522,613205.8203737191
2022january,2429,0.6648826677645121,0.6648826677645121,5284.877399380805,651704.9984520124
2022july,2429,0.7196377109921779,0.7196377109921779,4469.58409610984,515903.22940503433
2022june,2429,0.7109921778509675,0.7109921778509675,4390.431383902722,513333.91878980893
2022march,2429,0.6648826677645121,0.6648826677645121,4596.29040247678,590791.8671826626
2022may,2429,0.7048167970358172,0.7048167970358172,4445.25,547447.7054614486
2022november,2429,0.715109098394401,0.715109098394401,4450.650546919977,483117.82656879677
2022october,2429,0.7299300123507616,0.7299300123507616,4227.662718556119,523367.19613649184
2022september,2429,0.7225195553725813,0.7225195553725813,4224.803418803419,501949.8482905983
2023april,2429,0.7501029230135858,0.7501029230135858,3828.7650933040613,454612.22475301864
2023august,2429,0.7381638534376287,0.7381638534376287,3968.6424986056886,460112.9456218628
2023december,2429,0.7616303005351996,0.7616303005351996,3801.270810810811,452257.68256756756
2023february,2429,0.5376698229724166,0.5376698229724166,4822.901990811639,550388.8300153139
2023january,2429,0.7303417044051049,0.7303417044051049,4349.771138669673,507784.4833709132
2023july,2429,0.7406340057636888,0.7406340057636888,4156.279599777654,490782.78571428574
2023june,2429,0.7583367641004528,0.7583367641004528,3815.1411509229097,467064.3820575462
2023march,2429,0.7365170852202553,0.7365170852202553,4079.1805477920625,489666.571548351
2023may,2429,0.7562783038287361,0.7562783038287361,3792.8437670114317,480744.5847849755
2023november,2429,0.760806916426513,0.760806916426513,3801.748917748918,432859.8751352814
2023october,2429,0.7657472210786331,0.7657472210786331,3694.590322580645,455936.29489247315
2023september,2429,0.7089337175792507,0.7089337175792507,3802.668989547038,444148.51785714284
2024april,2429,0.7398106216550021,0.7398106216550021,3519.5208681135227,415029.34042849194
2024august,2429,0.7286949361877316,0.7286949361877316,3478.0677966101694,433984.3316384181
2024december,2429,0.6249485384932071,0.6249485384932071,4394.721343873518,501823.087944664
2024february,2429,0.7657472210786331,0.7657472210786331,3871.998387096774,444444.16639784945
2024january,2429,0.7472210786331824,0.7472210786331824,3745.1432506887054,492811.66157024796
2024july,2429,0.7328118567311651,0.7328118567311651,3721.861235955056,412767.63286516856
2024june,2429,0.7237546315356114,0.7237546315356114,3496.7138794084185,412484.57096131967
2024march,2429,0.5084396871140388,0.5084396871140388,4738.950607287449,613410.3690283401
2024may,2429,0.724578015644298,0.724578015644298,3580.2357954545455,443643.7856534091
2024november,2429,0.7402223137093454,0.7402223137093454,4007.862068965517,448639.2260845384
2024october,2429,0.7311650885137917,0.7311650885137917,3584.7162162162163,433340.8823198198
2024september,2429,0.731576780568135,0.731576780568135,3806.928531232414,452196.8611423748
2025april,2429,0.6792918896665294,0.6792918896665294,3735.258181818182,430028.9712121212
2025august,2429,0.6945244956772334,0.6945244956772334,3522.598103141672,400258.2851215175
2025december,2429,0.6788801976121861,0.6788801976121861,3541.0084899939357,400610.0336567617
2025february,2429,0.7122272540139976,0.7122272540139976,3806.973988439306,428882.33945086703
2025january,2429,0.7076986414162206,0.7076986414162206,3927.5095986038395,477982.1852821408
2025july,2429,0.7064635652531907,0.7064635652531907,3841.6130536130536,435954.6171328671
2025june,2429,0.7048167970358172,0.7048167970358172,3614.092289719626,427133.86346378503
2025march,2429,0.7155207904487444,0.7155207904487444,3663.606444188723,438898.3447928654
2025may,2429,0.7254013997529848,0.7254013997529848,3742.4625425652666,409960.2651816118
2025november,2429,0.6912309592424866,0.6912309592424866,3351.2656343061344,386896.31893984514
2025october,2429,0.6858789625360231,0.6858789625360231,3547.7268907563025,383523.4380252101
2025september,2429,0.6883491148620832,0.6883491148620832,3322.7775119617227,417905.79680023924
